post_no,type,writer,body,time
926901180,body,Kitchen B1,"[COURSE1]
뚝배기소불고기, 잡곡밥,
두부양념조림, 가지나물, 부추겉절이
724kcal(단백질:30g)Na함량:1105mg(염도:0.6%)
[COURSE2]
잠발라야볶음밥&계란프라이, 우동국물,
카레크로켓&어니언링, 알마늘지무침
895kcal(단백질:46g)Na함량:1399mg(염도:0.5%)
[샐러드바]
그린샐러드, 실곤약샐러드, 알새우칩,
현미밥/백미밥, 배추겉절이/깍두기",2023년 5월 10일 오전 11:10
926901181,body,Kitchen B1,"[COURSE1]
황태미역국, 잡곡밥,
너비아니구이, 방풍나물, 고추지무침
744kcal(단백질:28g)Na함량:1315mg(염도:0.6%)
[COURSE2]
가쓰오해물나시고랭, 미소장국.
춘권튀김, 양파피클
868kcal(단백질:32g)Na함량:1489mg(염도:0.5%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥,포기김치/깍두기",2023년 5월 10일 오후 6:04
926901181,comment,Kitchen B1,석식2코너 가쓰오해물나시고랭은 품절되었습니다.,2023년 5월 10일
926901183,body,Kitchen B1,"[COURSE1]
닭볶음탕, 잡곡밥,
호박새우젓국, 맛살채소볶음, 반반콩자반
884kcal(단백질:50g)Na함량:1429mg(염도:0.7%)
[COURSE2]
명란마요규동, 어묵국,
세사미두부카츠, 궁채절임
869kcal(단백질:35g)Na함량:1300mg(염도:0.6%)
[샐러드바]
그린샐러드, 모듬콩샐러드, 석류차
현미밥/백미밥, 포기김치/열무김치",2023년 5월 11일 오후 6:14
926901184,body,Kitchen B1,"[COURSE1]
잔치국수, 유부초밥,
납작지짐만두&비빔야채, 치자단무지
876kcal(단백질:33g)Na함량:1477mg(염도:0.6%)
[COURSE2]
고갈비구이, 잡곡밥,
콩가루배추국, 미역줄기볶음, 오이깍뚝무침
756kcal(단백질:23g)Na함량:1360mg(염도:0.6%)
[샐러드바]
그린샐러드,나쵸*치즈, 아이스티,
현미밥/백미밥,포기김치/석박지",2023년 5월 12일 오전 11:11
926901184,comment,Kitchen B1,중식1코너 잔치국수 품절되었습니다.,2023년 5월 12일
926901184,comment,Kitchen B1,중식2코너 건파래자반이 추가 찬으로 제공됩니다.,2023년 5월 12일
926901185,body,Kitchen B1,"[COURSE1]
치즈김치돌솥비빔밥, 무채국,
해물부추전, 견과멸치볶음
890kcal(단백질:53g)Na함량:1268mg(염도:0.5%)
[샐러드바]
그린샐러드,연근샐러드, 웨하스
현미밥/백미밥,포기김치/깍두기",2023년 5월 12일 오후 5:59
926901187,body,Kitchen B1,"[COURSE1]
고추장삼겹살구이&구운양파, 잡곡밥,
시래기된장국, 부들어묵볶음, 상추쌈&쌈장
844kcal(단백질:37g)Na함량:1336mg(염도:0.6%)
[COURSE2]
일식커리&멘치까스, 강황밥,
우동국물, 아게다시도후, 락교*초생강
976kcal(단백질:38g)Na함량:1312mg(염도:0.5%)
[샐러드바]
그린샐러드,쿠스쿠스샐러드, 매실차
현미밥/백미밥, 포기김치/열무김치",2023년 5월 15일 오전 11:06
926901188,body,Kitchen B1,"[COURSE1]
참치김치찌개, 잡곡밥,
도톰동그랑땡전, 느타리버섯볶음, 시금치나물
732kcal(단백질:32g)Na함량:1401mg(염도:0.7%)
[COURSE2]
소불고기달걀덮밥, 맑은유부국,
고구마고로케&케첩, 우엉파프리카볶음
932kcal(단백질:51g)Na함량:1268mg(염도:0.5%)
[샐러드바]
그린샐러드,과일푸딩, 초코쿠키,
현미밥/백미밥,포기김치/깍두기",2023년 5월 15일 오후 6:09
926901188,comment,Kitchen B1,1코너 참치김치찌개 품절 되었습니다,2023년 5월 15일
926901189,body,Kitchen B1,"[COURSE1]
비빔막국수, 사골파국,
쌀밥(소), 미니수육, 보쌈무김치
753kcal(단백질:55g)Na함량:1488mg(염도:0.6%)
[COURSE2]
소불고기솥밥*양념장, 된장찌개.
고등어반마리구이, 감자채볶음, 모듬채소겉절이
750kcal(단백질:46g)Na함량:1345mg(염도:0.7%)
[샐러드바]
그린샐러드, 살사푸실리샐러드, 감자크래커,
현미밥/백미밥,포기김치/깍두기",2023년 5월 16일 오전 10:59
926901189,comment,Kitchen B1,2코너 소불고기솥밥 품절되었습니다.,2023년 5월 16일
926901193,body,Kitchen B1,"[COURSE1]
분짜플레터(간장불고기*쌀국수*짜조)&느억맘소스,
쌀국수국물, 파인애플볶음밥, 양파피클
954kcal(단백질:29g)Na함량:1164mg(염도:0.6%)
[COURSE2]
매콤닭불고기, 잡곡밥, 몽글몽글순두부탕,
명엽채볶음, 고들빼기무침
894kcal(단백질:54g)Na함량:1332mg(염도:0.6%)
[샐러드바]
그린샐러드, 이집트콩샐러드, 자몽차,
현미밥/백미밥, 배추겉절이/깍두기",2023년 5월 17일 오전 11:11
926901193,comment,Kitchen B1,중식1코스 분짜플레터 품절되었습니다,2023년 5월 17일
926901194,body,Kitchen B1,"[COURSE1]
불고기퀘사디아&양념감자튀김 *사워크림/살사소스,
마늘밥, 양배추적채피클, 탄산음료
973kcal(단백질:23g)Na함량:1179mg
[COURSE2]
돈목살김치찜, 쌀밥&계란프라이,
근대된장국, 건파래자반, 호박새우젓볶음
755kcal(단백질:30g)Na함량:1489mg(염도:0.6%)
[샐러드바]
그린샐러드, 천사채샐러드, 복분자차,
현미밥/백미밥,포기김치/깍두기",2023년 5월 17일 오후 6:19
926901195,body,Kitchen B1,"[COURSE1]
<헬시데이>식물성미트라구소스파스타,
양송이수프, 두부텐더샐러드, 오이피클, 레몬콤부차
715kcal(단백질:20g)Na함량:1295mg(염도:0.6%)
[COURSE2]
열무김치보리비빔밥&계란프라이, 청국장찌개,
어니언떡갈비구이, 맑은오이지무침, 비빔고추장
943kcal(단백질:38g)Na함량:1452mg(염도:0.7%)
[샐러드바]
그린샐러드,요겉, 토핑3종,
현미밥/백미밥, 포기김치/석박지",2023년 5월 18일 오전 11:21
926901196,body,Kitchen B1,"[COURSE1]
전주콩나물국밥, 잡곡밥,
두절가자미구이, 탕평채, 무말랭이무침
651kcal(단백질:30g)Na함량:1280mg(염도:0.6%)
[COURSE2]
시래기두루치기덮밥, 계란파국,
교자만두탕수, 청경채나물
705kcal(단백질:35g)Na함량:1412mg(염도:0.5%)
[샐러드바]
그린샐러드, 코울슬로샐러드, 고구마스틱,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 18일 오후 6:10
926901196,comment,Kitchen B1,석식2코너 시래기두루치기덮밥은 품절되었습니다.,2023년 5월 18일
926901198,body,Kitchen B1,"[COURSE1]
닭개장, 잡곡밥,
단호박채전, 두부쑥갓나물, 깻잎지무침
709kcal(단백질:20g)Na함량:1409mg(염도:0.6%)
[COURSE2]
베이컨갈릭볶음밥&어린잎, 미소시루,
새우튀김&칠리소스, 블루베리무피클
839kcal(단백질:26g)Na함량:1466mg(염도:0.5%)
[샐러드바]
그린샐러드, 바나나, 식혜,
현미밥/백미밥,포기김치/깍두기",2023년 5월 19일 오전 11:15
926901198,comment,Kitchen B1,1코너 단호박채전에서 섭산적구이로 변경되었습니다.,2023년 5월 19일
926901199,body,Kitchen B1,"[COURSE1]
왕만두떡국, 쌀밥(소),
오징어초무침, 게맛살채소볶음, 열무나물
921kcal(단백질:38g)Na함량:1230mg(염도:0.6%)
[샐러드바]
그린샐러드,후르츠콘샐러드, 다시마튀각
현미밥/백미밥,포기김치/열무김치",2023년 5월 19일 오후 6:09
926901202,body,Kitchen B1,"[COURSE1]
치즈부대전골&라면사리, 잡곡밥,
계란찜, 알감자조림, 들깨무나물
969kcal(단백질:41g)Na함량:1403mg(염도:0.7%)
[COURSE2]
고구마무스돈까스, 흑임자밥&구운채소,
크림수프, 모닝빵&달걀샐러드, 블루베리무피클
1003kcal(단백질:36g)Na함량:1301mg(염도:0.5%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥, 포기김치/열무김치",2023년 5월 22일 오전 11:12
926901203,body,Kitchen B1,"[COURSE1]
소고기샤브전골&칼국수사리, 잡곡밥,
꽈리고추계란장조림, 가지나물, 마늘쫑무침
726kcal(단백질:26g)Na함량:1412mg(염도:0.6%)
[COURSE2]
오징어볶음덮밥&깻잎상추채, 수제비국,
옛날소시지전&케첩, 오이지무침
871kcal(단백질:41g)Na함량:1394mg(염도:0.6%)
[샐러드바]
그린샐러드,멕시칸샐러드, 블루베리주스,
현미밥/백미밥,포기김치/석박지",2023년 5월 22일 오후 6:16
926901204,body,Kitchen B1,"[COURSE1]
나가사키짬뽕, 쌀밥(소),
타코야끼, 꼬들단무지
804kcal(단백질:27g)Na함량:1447mg(염도:0.7%)
[COURSE2]
반반불고기, 잡곡밥, 유채된장국,
바싹김치전, 양배추쌈&쌈장
977kcal(단백질:75g)Na함량:1311mg(염도:0.6%)
[샐러드바]
그린샐러드, 모듬콩샐러드, 오미자차,
현미밥/백미밥,포기김치/깍두기",2023년 5월 23일 오전 11:08
926901205,body,Kitchen B1,"[COURSE1]
닭보쌈, 잡곡밥, 미니묵사발,
얼갈이나물, 삼색겨자채무침
643kcal(단백질:32g)Na함량:1282mg(염도:0.6%)
[COURSE2]
돈목살김치필라프, 유부장국,
피쉬앤칩스, 발사믹토마토
941kcal(단백질:68g)Na함량:1330mg(염도:0.5%)
[샐러드바]
그린샐러드,고구마무스샐러드(1인_완제), 깨강정,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 23일 오후 6:12
926901207,body,Kitchen B1,"[COURSE1]
소고기미역국, 잡곡밥, 두부숙회*돈육볶음김치,
미니새송이파프리카볶음, 오이부추무침
950kcal(단백질:50g)Na함량:1334mg(염도:0.6%)
[COURSE2]
중화풍버섯잡채덮밥, 계란파국,
유린기, 짜사이무침
949kcal(단백질:35g)Na함량:1245mg(염도:0.6%)
[샐러드바]
그린샐러드, 렌틸콩유자샐러드, 건빵튀김,
현미밥/백미밥, 포기김치/석박지",2023년 5월 24일 오전 11:17
926901207,comment,Kitchen B1,중식1코스 소고기미역국 품절되었습니다.,2023년 5월 24일
926901208,body,Kitchen B1,"[COURSE1]
모듬어묵전골, 잡곡밥, 단호박묵&어린잎,
간장무채장아찌, 풀무원조미김, 와사비장
812kcal(단백질:34g)Na함량:1162mg(염도:0.6%)
[COURSE2]
산채들기름비빔밥&약고추장, 조랭이떡국,
언양식불고기, 우엉참깨무침
837kcal(단백질:44g)Na함량:1326mg(염도:0.6%)
[샐러드바]
그린샐러드, 요거트, 토핑3종,
현미밥/백미밥,포기김치/깍두기",2023년 5월 24일 오후 6:13
926901209,body,Kitchen B1,"[COURSE1&2]
<런치스페셜> 통삼겹스테이크&구운채소,양념옥수수,
미소장국, 파인애플볶음밥, 냉파스타샐러드, 오이피클할라피뇨
1342kcal(단백질:55g)Na함량:1235mg(염도:0.6%)
[샐러드바]
그린샐러드,마카로니콘샐러드, 웨하스,
현미밥/백미밥, 배추겉절이/깍두기",2023년 5월 25일 오전 10:58
926901211,body,Kitchen B1,"[COURSE1]
소고기숙주볶음, 잡곡밥, 아욱된장국,
해물부추전, 청경채겉절이
764kcal(단백질:29g)Na함량:1207mg(염도:0.6%)
[샐러드바]
그린샐러드, 사과, 감식초,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 25일 오후 6:20
926901212,body,Kitchen B1,"[COURSE1]
누룽지봉추찜닭, 잡곡밥, 오이냉국,
마늘쫑볶음, 콩나물파채무침
899kcal(단백질:62g)Na함량:1050mg(염도:0.6%)
[COURSE2]
경양식오므라이스&함박, 우동국물,
바나나브륄레, 적채무피클
838kcal(단백질:27g)Na함량:1331mg(염도:0.5%)
[샐러드바]
그린샐러드, 과일푸딩, 계란과자,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 26일 오전 11:06
926901212,comment,Kitchen B1,중식 1코너 누룽지봉추찜닭은 품절되었습니다. 추가찬 2코너 고구마샐러드가 제공됩니다.,2023년 5월 26일
926901213,body,Kitchen B1,"[COURSE1]
콩비지찌개, 잡곡밥, 떡갈비조림,
브로콜리마늘볶음, 참나물무침
656kcal(단백질:51g)Na함량:1221mg(염도:0.6%)
[샐러드바]
그린샐러드, 누룽지샐러드, 식혜,
현미밥/백미밥, 포기김치/열무김치",2023년 5월 26일 오후 6:12
926901215,body,Kitchen B1,"[COURSE1]
장터국밥, 잡곡밥, 감자채전,
메추리알장조림, 미역레몬초무침
805kcal(단백질:36g)Na함량:1429mg(염도:0.7%)
[COURSE2]
가라아게마요덮밥, 김치국,
연두부오리엔탈샐러드, 유자꼬들단무지
948kcal(단백질:41g)Na함량:1337mg(염도:0.6%)
[샐러드바]
그린샐러드,과일푸딩, 자몽차,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 30일 오전 11:03
926901215,comment,Kitchen B1,2코너 치킨가라아게덮밥 품절되었습니다,2023년 5월 30일
926901216,body,Kitchen B1,"[COURSE1]
통마늘돼지불백, 잡곡밥, 시금치된장국,
도토리묵채소무침, 멸치견과볶음
887kcal(단백질:56g)Na함량:1354mg(염도:0.6%)
[COURSE2]
옛날카레라이스&구운소세지, 어묵국,
치즈스틱*케첩, 오복지무침
936kcal(단백질:29g)Na함량:1442mg(염도:0.6%)
[샐러드바]
그린샐러드,요겉, 토핑3종,
현미밥/백미밥,포기김치/석박지",2023년 5월 30일 오후 6:06
926901216,comment,Kitchen B1,석식 2코너 치즈스틱 -> 고로케로 변경되었습니다.,2023년 5월 30일
926901216,comment,Kitchen B1,석식 2코너 토핑 소시지구이 -> 텐더치킨으로 변경되었습니다.,2023년 5월 30일
926901216,comment,Kitchen B1,석식2코너 옛날카레라이스&구운소시지 품절되었습니다.,2023년 5월 30일
926901218,body,Kitchen B1,"[COURSE1]
파채버섯소불고기, 잡곡밥, 비엔나소시지볶음,
명엽채볶음, 돌나물*초고추장
915kcal(단백질:52g)Na함량:1363mg(염도:0.6%)
[COURSE2]
토마토리조또&새우튀김, 단호박크림수프,
프렌치토스트, 수제모듬피클
888kcal(단백질:31g)Na함량:1289mg(염도:0.6%)
[샐러드바]
그린샐러드, 이집트콩샐러드, 건빵튀김,
현미밥/백미밥, 배추겉절이/깍두기",2023년 5월 31일 오전 11:12
926901218,comment,Kitchen B1,2코너 토마토리조또 품절되었습니다.,2023년 5월 31일
926901219,body,Kitchen B1,"[COURSE1]
동태지리탕, 잡곡밥, 너비아니구이,
연근땅콩조림, 부추겉절이
815kcal(단백질:55g)Na함량:1338mg(염도:0.6%)
[COURSE2]
소보로비빔밥, 다시마무채국,
청파래오징어까스*타르타르소스, 팽이미역줄기볶음
783kcal(단백질:31g)Na함량:1377mg(염도:0.5%)
[샐러드바]
그린샐러드,실곤약샐러드, 다시마튀각,
현미밥/백미밥, 포기김치/깍두기",2023년 5월 31일 오후 6:10
926901220,body,Kitchen B1,"[COURSE1]
제철식재<복분자> 옛날자장면, 계란파국,
복분자소스탕수육, 반달단무지
996kcal(단백질:42g)Na함량:1313mg(염도:0.6%)
[COURSE2]
제철식재<감자> 감자짜글이김치찌개,
쌀밥&계란프라이, 한식잡채, 느타리버섯볶음, 건파래자반
806kcal(단백질:28g)Na함량:1342mg(염도:0.7%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/열무김치",2023년 6월 1일 오전 11:03
926901221,body,Kitchen B1,"[COURSE1]
뼈없는닭갈비, 잡곡밥, 미역국,
콩자반, 무쌈&깻잎, 모듬채소스틱&쌈장
726kcal(단백질:28g)Na함량:1193mg(염도:0.6%)
[COURSE2]
불고기핫도그&감자*양파링튀김,
마카로니콘치즈구이, 오이피클, 탄산음료
905kcal(단백질:20g)Na함량:1350mg
[샐러드바]
그린샐러드, 바나나칩샐러드, 참깨크래커,
현미밥/백미밥,포기김치/깍두기",2023년 6월 1일 오후 5:57
926901221,comment,Kitchen B1,석식 1코너 뼈없는닭갈비 품절되었습니다.,2023년 6월 1일
926901222,body,Kitchen B1,"[COURSE1]
철판오징어볶음&소면사리, 잡곡밥,
얼갈이된장국, 동그랑땡조림, 숙주나물
813kcal(단백질:42g)Na함량:1377mg(염도:0.6%)
[COURSE2]
소고기미나리볶음밥, 유부장국,
김치메밀전병, 무말랭이무침
722kcal(단백질:29g)Na함량:1368mg(염도:0.5%)
[샐러드바]
그린샐러드, 오렌지, 석류차,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 2일 오전 11:05
926901223,body,Kitchen B1,"[COURSE1]
사골우거지탕, 잡곡밥,
두부구이*양념장, 부들어묵볶음, 고들빼기무침
710kcal(단백질:34g)Na함량:1291mg(염도:0.6%)
[샐러드바]
그린샐러드, 살사푸실리샐러드, 수정과,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 2일 오후 5:47
926901225,body,Kitchen B1,"[COURSE1]
나주곰탕, 잡곡밥, 돈저냐구이&파채,
호박새우젓볶음, 열무된장나물
682kcal(단백질:34g)Na함량:1375mg(염도:0.6%)
[COURSE2]
매운돈까스정식&볶음채소, 쌀밥, 크림스프,
콘치즈모닝빵, 오이피클
982kcal(단백질:29g)Na함량:1360mg(염도:0.6%)
[샐러드바]
그린샐러드,과일푸딩, 감식초,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 5일 오전 11:19
926901226,body,Kitchen B1,"[COURSE1]
교자만두칼국수, 미니열무보리비빔밥,
녹두전*초간장, 고추지무침
931kcal(단백질:42g)Na함량:1211mg(염도:0.6%)
[COURSE2]
돈육고추장볶음&파채, 잡곡밥,
아욱된장국, 가지양념구이, 치커리유자청무침
734kcal(단백질:35g)Na함량:1347mg(염도:0.6%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥,포기김치/깍두기",2023년 6월 5일 오후 6:13
926901227,body,Kitchen B1,"[COURSE1]
순두부찌개, 잡곡밥, 도톰완자전,
알감자조림, 깻잎지무침
854kcal(단백질:39g)Na함량:1213mg(염도:0.7%)
[COURSE2]
반반카레라이스&두부텐더, 우동국물,
야채고로케, 블루베리무피클
954kcal(단백질:26g)Na함량:1225mg(염도:0.5%)
[샐러드바]
그린샐러드, 살사푸실리샐러드, 누네띠네,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 7일 오전 11:02
926901228,body,Kitchen B1,"[COURSE1]
취나물영양밥&부추양념장, 청국장찌개,
고등어반마리구이, 파래김구이, 오이깍둑무침
733kcal(단백질:30g)Na함량:1373mg(염도:0.7%)
[COURSE2]
핫도그떡볶이, 맑은유부국,
참치마요덮밥, 모듬튀김, 한입단무지
923kcal(단백질:38g)Na함량:1234mg(염도:0.5%)
[샐러드바]
그린샐러드, 천사채샐러드, 매실차,
현미밥/백미밥, 포기김치/석박지",2023년 6월 7일 오후 6:00
926901230,body,Kitchen B1,"[COURSE1]
황태해장국, 잡곡밥, 매콤모듬장조림,
고구마순들깨나물, 브로콜리숙회&초고추장
723kcal(단백질:39g)Na함량:1232mg(염도:0.6%)
[COURSE2]
소고기할라피뇨볶음밥&계란프라이, 미소시루,
볼새우카츠&타르타르소스, 우엉파프리카볶음
919kcal(단백질:36g)Na함량:1158mg
[샐러드바]
그린샐러드, 모듬콩샐러드, 고구마스틱,
현미밥/백미밥,포기김치/깍두기",2023년 6월 8일 오후 6:12
926901230,comment,Kitchen B1,석식 2코너 소고기할라피뇨볶음밥은 품절되었습니다.,2023년 6월 8일
926901231,body,Kitchen B1,"[COURSE1]
계림닭볶음탕, 잡곡밥, 얼갈이된장국,
청포묵김가루무침, 숙주나물
902kcal(단백질:66g)Na함량:1481mg(염도:0.6%)
[COURSE2]
부타동, 무채국,
야채튀김&초간장, 과일샐러드
947kcal(단백질:59g)Na함량:1307mg(염도:0.5%)
[샐러드바]
그린샐러드, 바나나, 깨강정,
현미밥/백미밥, 배추겉절이/깍두기",2023년 6월 9일 오전 11:09
926901231,comment,Kitchen B1,중식 1코너 계림닭볶음탕은 품절되었습니다.,2023년 6월 9일
926901231,comment,Kitchen B1,2코너 추가찬 반반콩자반 제공됩니다.,2023년 6월 9일
926901232,body,Kitchen B1,"[COURSE1]
돌솥비빔밥&계란프라이, 맑은팽이버섯국,
오징어초무침, 고구마맛탕, 비빔밥고추장
941kcal(단백질:40g)Na함량:1174mg(염도:0.5%)
[샐러드바]
그린샐러드, 마카로니샐러드, 블루베리주스,
현미밥/백미밥, 포기김치/열무김치
글 옵션",2023년 6월 9일 오후 6:12
926901234,body,Kitchen B1,"[COURSE1]
차돌부추돌솥밥*양념장, 된장찌개, 야채계란찜,
멸치견과류볶음, 풀무원조미김
774kcal(단백질:77g)Na함량:1472mg(염도:0.6%)
[COURSE2]
투움바리조또&닭다리구이, 모닝빵&에그스프레드,
수제모듬피클, 탄산음료
1226kcal(단백질:60g)Na함량:1235mg
[샐러드바]
그린샐러드,오렌지, 웨하스,
현미밥/백미밥, 포기김치/열무김치",2023년 6월 12일 오전 11:08
926901234,comment,Kitchen B1,"중식1코너 차돌부추돌솥밥은 품절되었습니다.
중식 2코너 투움바리조또&닭다리구이->투움바리조또 블랙페퍼닭가슴살구이로 변경되었습니다.",2023년 6월 12일
926901235,body,Kitchen B1,"[COURSE1]
전주식콩나물국밥, 잡곡밥, 언양식불고기,
감자채볶음, 청경채겉절이
803kcal(단백질:34g)Na함량:1167mg(염도:0.6%)
[COURSE2]
장조림버터비빔밥, 우동국물,
통살새우까스&사우전S, 마늘쫑무침
953kcal(단백질:38g)Na함량:1351mg(염도:0.5%)
[샐러드바]
그린샐러드,요거트, 토핑3종,
현미밥/백미밥,포기김치/석박지",2023년 6월 12일 오후 6:17
926901237,body,Kitchen B1,"[COURSE1]
닭간장불고기, 잡곡밥, 시금치된장국,
미역줄기볶음, 매콤무조림
676kcal(단백질:77g)Na함량:1472mg(염도:0.6%)
[COURSE2]
고추잡채덮밥&꽃빵, 계란파국,
꿔바로우, 짜사이무침
993kcal(단백질:60g)Na함량:1235mg
[샐러드바]
그린샐러드,이집트콩샐러드, 살구주스,
현미밥/백미밥, 포기김치/깍두기",2023년 6월 13일 오전 11:09
926901237,comment,Kitchen B1,중식2코스 고추잡채덮밥&꽃빵 품절되었습니다.,2023년 6월 13일
926901238,body,Kitchen B1,"[COURSE1]
명란크림파스타, 콤비네이션피자,
오이피클할라피뇨, 탄산음료
950kcal(단백질:34g)Na함량:1167mg(염도:0.6%)
[COURSE2]
뼈없는감자탕, 잡곡밥, 식물성런천미트*케첩,
맛살브로콜리볶음, 양파풋고추된장무침
957kcal(단백질:38g)Na함량:1351mg(염도:0.5%)
[샐러드바]
그린샐러드,실곤약샐러드, 다시마튀각,
현미밥/백미밥,포기김치/깍두기",2023년 6월 13일 오후 6:09
