post_no,type,writer,body,time
926901578,body,Kitchen B1,"[COURSE1]
바지락순두부찌개, 잡곡밥, 너비아니구이, 사각어묵볶음, 봄동나물
837kcal(단백질: 36g)Na함량: 1131mg(염도: 0.6%)
[COURSE2]
명란마요소고기덮밥, 맑은유부국, 두부카츠*어린잎, 락교무침
826kcal(단백질: 41g)Na함량: 1149mg(염도: 0.6%)
[샐러드바]
그린샐러드, 모듬콩샐러드, 팝콘,
현미밥/백미밥, 배추겉절이/석박지",2023년 12월 21일 오전 10:56
926901578,comment,Kitchen B1,중식 1코스 바지락순두부찌개 품절되었습니다.,12월 21일 오후 1:49
926901579,body,kitchen B1,"[COURSE1]
쫄우동, 연어치즈까스&스위트칠리S, 고구마샐러드, 맑은오이지무침
944kcal(단백질: 38g)Na함량: 1121mg(염도: 0.5%)
[COURSE2]
오징어떡채소볶음, 잡곡밥, 콩나물국, 청포무김가루무침, 단호박찜&견과시럽
746kcal(단백질: 30g)Na함량: 1163mg(염도: 0.7%)
[샐러드바]
그린샐러드, 실곤약샐러드, 자몽차,
현미밥/백미밥, 포기김치/열무김치",2023년 12월 21일 오후 6:06
926901579,comment,Kitchen B1,석식 1코스 쫄우동 품절되었습니다.,12월 21일 오후 7:39
926901582,body,Kitchen B1,"[COURSE1]
<런치스페셜>로스트치킨먹물리조또, 쉬림프바질펜네파스타, 블루베리무피클, 탄산음료
946kcal(단백질: 43g)Na함량: 1168mg(염도: 0.7%)
[COURSE2]
<런치스페셜>로스트치킨먹물리조또, 쉬림프바질펜네파스타, 블루베리무피클, 탄산음료
946kcal(단백질: 43g)Na함량: 1168mg(염도: 0.7%)
[샐러드바]
그린샐러드, 핑거케이크, 감귤
현미밥/백미밥, 포기김치/깍두기",2023년 12월 22일 오전 10:45
926901585,body,Kitchen B1,"[COURSE1]
소고기가지영양밥, 유채된장국, 두부양념조림, 시래기된장지짐, 구운김*간장양념장
709kcal(단백질: 32g)Na함량: 1129mg(염도: 0.5%)
[샐러드바]
그린샐러드, 쿠스쿠스샐러드, 건빵튀김,
현미밥/백미밥, 포기김치/깍두기",2023년 12월 22일 오후 6:02
926901587,body,Kitchen B1,"[COURSE1]
참치김치찌개, 잡곡밥, 궁중떡볶이, 들깨무나물, 연근땅콩조림
778kcal(단백질: 35g)Na함량: 1125mg(염도: 0.6%)
[COURSE2]
옛날카레라이스, 우동국물, 찰도그롤*케첩, 락교무침
792kcal(단백질:36g)Na함량: 1080mg(염도: 0.5%)
[샐러드바]
그린샐러드, 마카로니콘샐러드, 석류차
현미밥/백미밥, 포기김치/깍두기",2023년 12월 26일 오전 10:57
926901587,comment,Kitchen B1,중식 2코스 품절되었습니다.,12월 26일 오후 1:54
926901588,body,Kitchen B1,"[COURSE1]
닭곰탕, 잡곡밥, 감자채전, 멸치견과볶음, 양념깻잎지
859kcal(단백질: 41g)Na함량: 1121mg(염도: 0.6%)
[COURSE2]
소불고기달걀덮밥, 미소시루, 야채튀김*초간장, 오복지무침,
923kcal(단백질:42g)Na함량: 1128mg(염도: 0.6%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/열무김치",2023년 12월 26일 오후 5:55
926901588,comment,Kitchen B1,석식 2코스 품절되었습니다.,12월 26일 오후 7:52
926901589,body,Kitchen B1,"[COURSE1]
뼈없는감자탕, 잡곡밥, 한식잡채, 가지나물, 풋고추양파무침
899kcal(단백질: 40g)Na함량: 1168mg(염도: 0.7%)
[COURSE2]
치킨마요덮밥, 맑은팽이버섯국, 순두부샐러드&오리엔탈소스, 한입단무지
829kcal(단백질:35g)Na함량: 1165mg(염도: 0.7 %)
[샐러드바]
그린샐러드, 오렌지, 팝콘
현미밥/백미밥, 포기김치/석박지",2023년 12월 27일 오전 11:00
926901589,comment,Kitchen B1,중식1코너 뼈없는감자탕은 품절되었습니다.,12월 27일 오후 1:46
926901590,body,kitchen B1,"[COURSE1]
버섯콩나물밥*간장양념장, 돈육고추장찌개, 가자미구이, 건새우마늘쫑볶음, 파래자반
747kcal(단백질: 39g)Na함량: 1137mg(염도: 0.6%)
[COURSE2]
뚝배기해물누룽지탕, 곤약쌀밥(소), 깐풍육, 중화식오이무침
877kcal(단백질:39g)Na함량: 1132mg(염도: 0.6%)
[샐러드바]
그린샐러드, 천사채샐러드, 수정과
현미밥/백미밥, 포기김치/깍두기",2023년 12월 27일 오후 6:07
926901590,comment,Kitchen B1,오늘 제공되는 가자미는 러시아산입니다~☺️맛있는 저녁 되세요!,12월 27일 오후 7:12
926901590,comment,Kitchen B1,석식2코너 뚝배기해물누룽지탕은 품절되었습니다.,12월 27일 오후 7:32
926901591,body,Kitchen B1,"[COURSE1]
꼬치어묵잔치국수, 언양식떡갈비구이, 고춧잎무침, 꿀토마토
892kcal(단백질: 38g)Na함량: 1161mg(염도: 0.7%)
[COURSE2]
매콤제육볶음, 잡곡밥, 콩가루배추국, 느타리버섯볶음, 양배추쌈&쌈장
723kcal(단백질:36g)Na함량: 1169mg(염도: 0.7%)
[샐러드바]
그린샐러드, 요거트, 토핑3종
현미밥/백미밥, 포기김치/열무김치",2023년 12월 28일 오전 10:58
