post_no,type,writer,body,time,day,hour,day_of_week,course1,course1_kcal,course1_protein,course1_na,course2,course2_kcal,course2_protein,course2_na
926901183,body,Kitchen B1,"[COURSE1]닭볶음탕,잡곡밥,호박새우젓국,맛살채소볶음,반반콩자반884kcal(단백질:50g)Na함량:1429mg(염도:0.7%)[COURSE2]명란마요규동,어묵국,세사미두부카츠,궁채절임869kcal(단백질:35g)Na함량:1300mg(염도:0.6%)[샐러드바]그린샐러드,모듬콩샐러드,석류차현미밥/백미밥,포기김치/열무김치",2023-05-11 18:14:00,2023-05-11,18:14,Thursday,"닭볶음탕,잡곡밥,호박새우젓국,맛살채소볶음,반반콩자반",884,50,1429.0,"명란마요규동,어묵국,세사미두부카츠,궁채절임",869.0,35.0,1300.0
926901184,body,Kitchen B1,"[COURSE1]잔치국수,유부초밥,납작지짐만두&비빔야채,치자단무지876kcal(단백질:33g)Na함량:1477mg(염도:0.6%)[COURSE2]고갈비구이,잡곡밥,콩가루배추국,미역줄기볶음,오이깍뚝무침756kcal(단백질:23g)Na함량:1360mg(염도:0.6%)[샐러드바]그린샐러드,나쵸*치즈,아이스티,현미밥/백미밥,포기김치/석박지",2023-05-12 11:11:00,2023-05-12,11:11,Friday,"잔치국수,유부초밥,납작지짐만두&비빔야채,치자단무지",876,33,1477.0,"고갈비구이,잡곡밥,콩가루배추국,미역줄기볶음,오이깍뚝무침",756.0,23.0,1360.0
926901185,body,Kitchen B1,"[COURSE1]치즈김치돌솥비빔밥,무채국,해물부추전,견과멸치볶음890kcal(단백질:53g)Na함량:1268mg(염도:0.5%)[샐러드바]그린샐러드,연근샐러드,웨하스현미밥/백미밥,포기김치/깍두기",2023-05-12 17:59:00,2023-05-12,17:59,Friday,"치즈김치돌솥비빔밥,무채국,해물부추전,견과멸치볶음",890,53,1268.0,NaN,NaN,NaN,NaN
926901187,body,Kitchen B1,"[COURSE1]고추장삼겹살구이&구운양파,잡곡밥,시래기된장국,부들어묵볶음,상추쌈&쌈장844kcal(단백질:37g)Na함량:1336mg(염도:0.6%)[COURSE2]일식커리&멘치까스,강황밥,우동국물,아게다시도후,락교*초생강976kcal(단백질:38g)Na함량:1312mg(염도:0.5%)[샐러드바]그린샐러드,쿠스쿠스샐러드,매실차현미밥/백미밥,포기김치/열무김치",2023-05-15 11:06:00,2023-05-15,11:06,Monday,"고추장삼겹살구이&구운양파,잡곡밥,시래기된장국,부들어묵볶음,상추쌈&쌈장",844,37,1336.0,"일식커리&멘치까스,강황밥,우동국물,아게다시도후,락교*초생강",976.0,38.0,1312.0
926901188,body,Kitchen B1,"[COURSE1]참치김치찌개,잡곡밥,도톰동그랑땡전,느타리버섯볶음,시금치나물732kcal(단백질:32g)Na함량:1401mg(염도:0.7%)[COURSE2]소불고기달걀덮밥,맑은유부국,고구마고로케&케첩,우엉파프리카볶음932kcal(단백질:51g)Na함량:1268mg(염도:0.5%)[샐러드바]그린샐러드,과일푸딩,초코쿠키,현미밥/백미밥,포기김치/깍두기",2023-05-15 18:09:00,2023-05-15,18:09,Monday,"참치김치찌개,잡곡밥,도톰동그랑땡전,느타리버섯볶음,시금치나물",732,32,1401.0,"소불고기달걀덮밥,맑은유부국,고구마고로케&케첩,우엉파프리카볶음",932.0,51.0,1268.0
926901189,body,Kitchen B1,"[COURSE1]비빔막국수,사골파국,쌀밥(소),미니수육,보쌈무김치753kcal(단백질:55g)Na함량:1488mg(염도:0.6%)[COURSE2]소불고기솥밥*양념장,된장찌개.고등어반마리구이,감자채볶음,모듬채소겉절이750kcal(단백질:46g)Na함량:1345mg(염도:0.7%)[샐러드바]그린샐러드,살사푸실리샐러드,감자크래커,현미밥/백미밥,포기김치/깍두기",2023-05-16 10:59:00,2023-05-16,10:59,Tuesday,"비빔막국수,사골파국,쌀밥(소),미니수육,보쌈무김치",753,55,1488.0,"소불고기솥밥*양념장,된장찌개.고등어반마리구이,감자채볶음,모듬채소겉절이",750.0,46.0,1345.0
926901193,body,Kitchen B1,"[COURSE1]분짜플레터(간장불고기*쌀국수*짜조)&느억맘소스,쌀국수국물,파인애플볶음밥,양파피클954kcal(단백질:29g)Na함량:1164mg(염도:0.6%)[COURSE2]매콤닭불고기,잡곡밥,몽글몽글순두부탕,명엽채볶음,고들빼기무침894kcal(단백질:54g)Na함량:1332mg(염도:0.6%)[샐러드바]그린샐러드,이집트콩샐러드,자몽차,현미밥/백미밥,배추겉절이/깍두기",2023-05-17 11:11:00,2023-05-17,11:11,Wednesday,"분짜플레터(간장불고기*쌀국수*짜조)&느억맘소스,쌀국수국물,파인애플볶음밥,양파피클",954,29,1164.0,"매콤닭불고기,잡곡밥,몽글몽글순두부탕,명엽채볶음,고들빼기무침",894.0,54.0,1332.0
926901194,body,Kitchen B1,"[COURSE1]불고기퀘사디아&양념감자튀김*사워크림/살사소스,마늘밥,양배추적채피클,탄산음료973kcal(단백질:23g)Na함량:1179mg[COURSE2]돈목살김치찜,쌀밥&계란프라이,근대된장국,건파래자반,호박새우젓볶음755kcal(단백질:30g)Na함량:1489mg(염도:0.6%)[샐러드바]그린샐러드,천사채샐러드,복분자차,현미밥/백미밥,포기김치/깍두기",2023-05-17 18:19:00,2023-05-17,18:19,Wednesday,"불고기퀘사디아&양념감자튀김*사워크림/살사소스,마늘밥,양배추적채피클,탄산음료",973,23,1179.0,"돈목살김치찜,쌀밥&계란프라이,근대된장국,건파래자반,호박새우젓볶음",755.0,30.0,1489.0
926901195,body,Kitchen B1,"[COURSE1]<헬시데이>식물성미트라구소스파스타,양송이수프,두부텐더샐러드,오이피클,레몬콤부차715kcal(단백질:20g)Na함량:1295mg(염도:0.6%)[COURSE2]열무김치보리비빔밥&계란프라이,청국장찌개,어니언떡갈비구이,맑은오이지무침,비빔고추장943kcal(단백질:38g)Na함량:1452mg(염도:0.7%)[샐러드바]그린샐러드,요겉,토핑3종,현미밥/백미밥,포기김치/석박지",2023-05-18 11:21:00,2023-05-18,11:21,Thursday,"<헬시데이>식물성미트라구소스파스타,양송이수프,두부텐더샐러드,오이피클,레몬콤부차",715,20,1295.0,"열무김치보리비빔밥&계란프라이,청국장찌개,어니언떡갈비구이,맑은오이지무침,비빔고추장",943.0,38.0,1452.0
926901196,body,Kitchen B1,"[COURSE1]전주콩나물국밥,잡곡밥,두절가자미구이,탕평채,무말랭이무침651kcal(단백질:30g)Na함량:1280mg(염도:0.6%)[COURSE2]시래기두루치기덮밥,계란파국,교자만두탕수,청경채나물705kcal(단백질:35g)Na함량:1412mg(염도:0.5%)[샐러드바]그린샐러드,코울슬로샐러드,고구마스틱,현미밥/백미밥,포기김치/깍두기",2023-05-18 18:10:00,2023-05-18,18:10,Thursday,"전주콩나물국밥,잡곡밥,두절가자미구이,탕평채,무말랭이무침",651,30,1280.0,"시래기두루치기덮밥,계란파국,교자만두탕수,청경채나물",705.0,35.0,1412.0
926901198,body,Kitchen B1,"[COURSE1]닭개장,잡곡밥,단호박채전,두부쑥갓나물,깻잎지무침709kcal(단백질:20g)Na함량:1409mg(염도:0.6%)[COURSE2]베이컨갈릭볶음밥&어린잎,미소시루,새우튀김&칠리소스,블루베리무피클839kcal(단백질:26g)Na함량:1466mg(염도:0.5%)[샐러드바]그린샐러드,바나나,식혜,현미밥/백미밥,포기김치/깍두기",2023-05-19 11:15:00,2023-05-19,11:15,Friday,"닭개장,잡곡밥,단호박채전,두부쑥갓나물,깻잎지무침",709,20,1409.0,"베이컨갈릭볶음밥&어린잎,미소시루,새우튀김&칠리소스,블루베리무피클",839.0,26.0,1466.0
926901199,body,Kitchen B1,"[COURSE1]왕만두떡국,쌀밥(소),오징어초무침,게맛살채소볶음,열무나물921kcal(단백질:38g)Na함량:1230mg(염도:0.6%)[샐러드바]그린샐러드,후르츠콘샐러드,다시마튀각현미밥/백미밥,포기김치/열무김치",2023-05-19 18:09:00,2023-05-19,18:09,Friday,"왕만두떡국,쌀밥(소),오징어초무침,게맛살채소볶음,열무나물",921,38,1230.0,NaN,NaN,NaN,NaN
926901202,body,Kitchen B1,"[COURSE1]치즈부대전골&라면사리,잡곡밥,계란찜,알감자조림,들깨무나물969kcal(단백질:41g)Na함량:1403mg(염도:0.7%)[COURSE2]고구마무스돈까스,흑임자밥&구운채소,크림수프,모닝빵&달걀샐러드,블루베리무피클1003kcal(단백질:36g)Na함량:1301mg(염도:0.5%)[샐러드바]그린샐러드,요거트,토핑3종,현미밥/백미밥,포기김치/열무김치",2023-05-22 11:12:00,2023-05-22,11:12,Monday,"치즈부대전골&라면사리,잡곡밥,계란찜,알감자조림,들깨무나물",969,41,1403.0,"고구마무스돈까스,흑임자밥&구운채소,크림수프,모닝빵&달걀샐러드,블루베리무피클",1003.0,36.0,1301.0
926901203,body,Kitchen B1,"[COURSE1]소고기샤브전골&칼국수사리,잡곡밥,꽈리고추계란장조림,가지나물,마늘쫑무침726kcal(단백질:26g)Na함량:1412mg(염도:0.6%)[COURSE2]오징어볶음덮밥&깻잎상추채,수제비국,옛날소시지전&케첩,오이지무침871kcal(단백질:41g)Na함량:1394mg(염도:0.6%)[샐러드바]그린샐러드,멕시칸샐러드,블루베리주스,현미밥/백미밥,포기김치/석박지",2023-05-22 18:16:00,2023-05-22,18:16,Monday,"소고기샤브전골&칼국수사리,잡곡밥,꽈리고추계란장조림,가지나물,마늘쫑무침",726,26,1412.0,"오징어볶음덮밥&깻잎상추채,수제비국,옛날소시지전&케첩,오이지무침",871.0,41.0,1394.0
926901204,body,Kitchen B1,"[COURSE1]나가사키짬뽕,쌀밥(소),타코야끼,꼬들단무지804kcal(단백질:27g)Na함량:1447mg(염도:0.7%)[COURSE2]반반불고기,잡곡밥,유채된장국,바싹김치전,양배추쌈&쌈장977kcal(단백질:75g)Na함량:1311mg(염도:0.6%)[샐러드바]그린샐러드,모듬콩샐러드,오미자차,현미밥/백미밥,포기김치/깍두기",2023-05-23 11:08:00,2023-05-23,11:08,Tuesday,"나가사키짬뽕,쌀밥(소),타코야끼,꼬들단무지",804,27,1447.0,"반반불고기,잡곡밥,유채된장국,바싹김치전,양배추쌈&쌈장",977.0,75.0,1311.0
926901205,body,Kitchen B1,"[COURSE1]닭보쌈,잡곡밥,미니묵사발,얼갈이나물,삼색겨자채무침643kcal(단백질:32g)Na함량:1282mg(염도:0.6%)[COURSE2]돈목살김치필라프,유부장국,피쉬앤칩스,발사믹토마토941kcal(단백질:68g)Na함량:1330mg(염도:0.5%)[샐러드바]그린샐러드,고구마무스샐러드(1인_완제),깨강정,현미밥/백미밥,포기김치/깍두기",2023-05-23 18:12:00,2023-05-23,18:12,Tuesday,"닭보쌈,잡곡밥,미니묵사발,얼갈이나물,삼색겨자채무침",643,32,1282.0,"돈목살김치필라프,유부장국,피쉬앤칩스,발사믹토마토",941.0,68.0,1330.0
926901207,body,Kitchen B1,"[COURSE1]소고기미역국,잡곡밥,두부숙회*돈육볶음김치,미니새송이파프리카볶음,오이부추무침950kcal(단백질:50g)Na함량:1334mg(염도:0.6%)[COURSE2]중화풍버섯잡채덮밥,계란파국,유린기,짜사이무침949kcal(단백질:35g)Na함량:1245mg(염도:0.6%)[샐러드바]그린샐러드,렌틸콩유자샐러드,건빵튀김,현미밥/백미밥,포기김치/석박지",2023-05-24 11:17:00,2023-05-24,11:17,Wednesday,"소고기미역국,잡곡밥,두부숙회*돈육볶음김치,미니새송이파프리카볶음,오이부추무침",950,50,1334.0,"중화풍버섯잡채덮밥,계란파국,유린기,짜사이무침",949.0,35.0,1245.0
926901208,body,Kitchen B1,"[COURSE1]모듬어묵전골,잡곡밥,단호박묵&어린잎,간장무채장아찌,풀무원조미김,와사비장812kcal(단백질:34g)Na함량:1162mg(염도:0.6%)[COURSE2]산채들기름비빔밥&약고추장,조랭이떡국,언양식불고기,우엉참깨무침837kcal(단백질:44g)Na함량:1326mg(염도:0.6%)[샐러드바]그린샐러드,요거트,토핑3종,현미밥/백미밥,포기김치/깍두기",2023-05-24 18:13:00,2023-05-24,18:13,Wednesday,"모듬어묵전골,잡곡밥,단호박묵&어린잎,간장무채장아찌,풀무원조미김,와사비장",812,34,1162.0,"산채들기름비빔밥&약고추장,조랭이떡국,언양식불고기,우엉참깨무침",837.0,44.0,1326.0
926901211,body,Kitchen B1,"[COURSE1]소고기숙주볶음,잡곡밥,아욱된장국,해물부추전,청경채겉절이764kcal(단백질:29g)Na함량:1207mg(염도:0.6%)[샐러드바]그린샐러드,사과,감식초,현미밥/백미밥,포기김치/깍두기",2023-05-25 18:20:00,2023-05-25,18:20,Thursday,"소고기숙주볶음,잡곡밥,아욱된장국,해물부추전,청경채겉절이",764,29,1207.0,NaN,NaN,NaN,NaN
926901212,body,Kitchen B1,"[COURSE1]누룽지봉추찜닭,잡곡밥,오이냉국,마늘쫑볶음,콩나물파채무침899kcal(단백질:62g)Na함량:1050mg(염도:0.6%)[COURSE2]경양식오므라이스&함박,우동국물,바나나브륄레,적채무피클838kcal(단백질:27g)Na함량:1331mg(염도:0.5%)[샐러드바]그린샐러드,과일푸딩,계란과자,현미밥/백미밥,포기김치/깍두기",2023-05-26 11:06:00,2023-05-26,11:06,Friday,"누룽지봉추찜닭,잡곡밥,오이냉국,마늘쫑볶음,콩나물파채무침",899,62,1050.0,"경양식오므라이스&함박,우동국물,바나나브륄레,적채무피클",838.0,27.0,1331.0
926901213,body,Kitchen B1,"[COURSE1]콩비지찌개,잡곡밥,떡갈비조림,브로콜리마늘볶음,참나물무침656kcal(단백질:51g)Na함량:1221mg(염도:0.6%)[샐러드바]그린샐러드,누룽지샐러드,식혜,현미밥/백미밥,포기김치/열무김치",2023-05-26 18:12:00,2023-05-26,18:12,Friday,"콩비지찌개,잡곡밥,떡갈비조림,브로콜리마늘볶음,참나물무침",656,51,1221.0,NaN,NaN,NaN,NaN
926901215,body,Kitchen B1,"[COURSE1]장터국밥,잡곡밥,감자채전,메추리알장조림,미역레몬초무침805kcal(단백질:36g)Na함량:1429mg(염도:0.7%)[COURSE2]가라아게마요덮밥,김치국,연두부오리엔탈샐러드,유자꼬들단무지948kcal(단백질:41g)Na함량:1337mg(염도:0.6%)[샐러드바]그린샐러드,과일푸딩,자몽차,현미밥/백미밥,포기김치/깍두기",2023-05-30 11:03:00,2023-05-30,11:03,Tuesday,"장터국밥,잡곡밥,감자채전,메추리알장조림,미역레몬초무침",805,36,1429.0,"가라아게마요덮밥,김치국,연두부오리엔탈샐러드,유자꼬들단무지",948.0,41.0,1337.0
926901216,body,Kitchen B1,"[COURSE1]통마늘돼지불백,잡곡밥,시금치된장국,도토리묵채소무침,멸치견과볶음887kcal(단백질:56g)Na함량:1354mg(염도:0.6%)[COURSE2]옛날카레라이스&구운소세지,어묵국,치즈스틱*케첩,오복지무침936kcal(단백질:29g)Na함량:1442mg(염도:0.6%)[샐러드바]그린샐러드,요겉,토핑3종,현미밥/백미밥,포기김치/석박지",2023-05-30 18:06:00,2023-05-30,18:06,Tuesday,"통마늘돼지불백,잡곡밥,시금치된장국,도토리묵채소무침,멸치견과볶음",887,56,1354.0,"옛날카레라이스&구운소세지,어묵국,치즈스틱*케첩,오복지무침",936.0,29.0,1442.0
926901218,body,Kitchen B1,"[COURSE1]파채버섯소불고기,잡곡밥,비엔나소시지볶음,명엽채볶음,돌나물*초고추장915kcal(단백질:52g)Na함량:1363mg(염도:0.6%)[COURSE2]토마토리조또&새우튀김,단호박크림수프,프렌치토스트,수제모듬피클888kcal(단백질:31g)Na함량:1289mg(염도:0.6%)[샐러드바]그린샐러드,이집트콩샐러드,건빵튀김,현미밥/백미밥,배추겉절이/깍두기",2023-05-31 11:12:00,2023-05-31,11:12,Wednesday,"파채버섯소불고기,잡곡밥,비엔나소시지볶음,명엽채볶음,돌나물*초고추장",915,52,1363.0,"토마토리조또&새우튀김,단호박크림수프,프렌치토스트,수제모듬피클",888.0,31.0,1289.0
926901219,body,Kitchen B1,"[COURSE1]동태지리탕,잡곡밥,너비아니구이,연근땅콩조림,부추겉절이815kcal(단백질:55g)Na함량:1338mg(염도:0.6%)[COURSE2]소보로비빔밥,다시마무채국,청파래오징어까스*타르타르소스,팽이미역줄기볶음783kcal(단백질:31g)Na함량:1377mg(염도:0.5%)[샐러드바]그린샐러드,실곤약샐러드,다시마튀각,현미밥/백미밥,포기김치/깍두기",2023-05-31 18:10:00,2023-05-31,18:10,Wednesday,"동태지리탕,잡곡밥,너비아니구이,연근땅콩조림,부추겉절이",815,55,1338.0,"소보로비빔밥,다시마무채국,청파래오징어까스*타르타르소스,팽이미역줄기볶음",783.0,31.0,1377.0
926901220,body,Kitchen B1,"[COURSE1]제철식재<복분자>옛날자장면,계란파국,복분자소스탕수육,반달단무지996kcal(단백질:42g)Na함량:1313mg(염도:0.6%)[COURSE2]제철식재<감자>감자짜글이김치찌개,쌀밥&계란프라이,한식잡채,느타리버섯볶음,건파래자반806kcal(단백질:28g)Na함량:1342mg(염도:0.7%)[샐러드바]그린샐러드,요거트,토핑3종현미밥/백미밥,포기김치/열무김치",2023-06-01 11:03:00,2023-06-01,11:03,Thursday,"제철식재<복분자>옛날자장면,계란파국,복분자소스탕수육,반달단무지",996,42,1313.0,"제철식재<감자>감자짜글이김치찌개,쌀밥&계란프라이,한식잡채,느타리버섯볶음,건파래자반",806.0,28.0,1342.0
926901221,body,Kitchen B1,"[COURSE1]뼈없는닭갈비,잡곡밥,미역국,콩자반,무쌈&깻잎,모듬채소스틱&쌈장726kcal(단백질:28g)Na함량:1193mg(염도:0.6%)[COURSE2]불고기핫도그&감자*양파링튀김,마카로니콘치즈구이,오이피클,탄산음료905kcal(단백질:20g)Na함량:1350mg[샐러드바]그린샐러드,바나나칩샐러드,참깨크래커,현미밥/백미밥,포기김치/깍두기",2023-06-01 17:57:00,2023-06-01,17:57,Thursday,"뼈없는닭갈비,잡곡밥,미역국,콩자반,무쌈&깻잎,모듬채소스틱&쌈장",726,28,1193.0,"불고기핫도그&감자*양파링튀김,마카로니콘치즈구이,오이피클,탄산음료",905.0,20.0,1350.0
926901222,body,Kitchen B1,"[COURSE1]철판오징어볶음&소면사리,잡곡밥,얼갈이된장국,동그랑땡조림,숙주나물813kcal(단백질:42g)Na함량:1377mg(염도:0.6%)[COURSE2]소고기미나리볶음밥,유부장국,김치메밀전병,무말랭이무침722kcal(단백질:29g)Na함량:1368mg(염도:0.5%)[샐러드바]그린샐러드,오렌지,석류차,현미밥/백미밥,포기김치/깍두기",2023-06-02 11:05:00,2023-06-02,11:05,Friday,"철판오징어볶음&소면사리,잡곡밥,얼갈이된장국,동그랑땡조림,숙주나물",813,42,1377.0,"소고기미나리볶음밥,유부장국,김치메밀전병,무말랭이무침",722.0,29.0,1368.0
926901223,body,Kitchen B1,"[COURSE1]사골우거지탕,잡곡밥,두부구이*양념장,부들어묵볶음,고들빼기무침710kcal(단백질:34g)Na함량:1291mg(염도:0.6%)[샐러드바]그린샐러드,살사푸실리샐러드,수정과,현미밥/백미밥,포기김치/열무김치",2023-06-02 17:47:00,2023-06-02,17:47,Friday,"사골우거지탕,잡곡밥,두부구이*양념장,부들어묵볶음,고들빼기무침",710,34,1291.0,NaN,NaN,NaN,NaN
926901225,body,Kitchen B1,"[COURSE1]나주곰탕,잡곡밥,돈저냐구이&파채,호박새우젓볶음,열무된장나물682kcal(단백질:34g)Na함량:1375mg(염도:0.6%)[COURSE2]매운돈까스정식&볶음채소,쌀밥,크림스프,콘치즈모닝빵,오이피클982kcal(단백질:29g)Na함량:1360mg(염도:0.6%)[샐러드바]그린샐러드,과일푸딩,감식초,현미밥/백미밥,포기김치/깍두기",2023-06-05 11:19:00,2023-06-05,11:19,Monday,"나주곰탕,잡곡밥,돈저냐구이&파채,호박새우젓볶음,열무된장나물",682,34,1375.0,"매운돈까스정식&볶음채소,쌀밥,크림스프,콘치즈모닝빵,오이피클",982.0,29.0,1360.0
926901226,body,Kitchen B1,"[COURSE1]교자만두칼국수,미니열무보리비빔밥,녹두전*초간장,고추지무침931kcal(단백질:42g)Na함량:1211mg(염도:0.6%)[COURSE2]돈육고추장볶음&파채,잡곡밥,아욱된장국,가지양념구이,치커리유자청무침734kcal(단백질:35g)Na함량:1347mg(염도:0.6%)[샐러드바]그린샐러드,요거트,토핑3종,현미밥/백미밥,포기김치/깍두기",2023-06-05 18:13:00,2023-06-05,18:13,Monday,"교자만두칼국수,미니열무보리비빔밥,녹두전*초간장,고추지무침",931,42,1211.0,"돈육고추장볶음&파채,잡곡밥,아욱된장국,가지양념구이,치커리유자청무침",734.0,35.0,1347.0
